"Pre_pri_sch_expectancy","Pri_sch_expectancy","Sec_sch_expectancy","Pri_sec_sch_expectancy","Lower_sec_completion","Upper_sec_completion","Gov_ex","Gov_ex_percent_GDP","Literacy_rate","Population","Pre_pri_enrolment_num","Pre_pri_enrolment_ratio","Pri_enrolment_num","Pri_enrolment_ratio","Pri_completion","Sec_enrolment_num","Sec_enrolment_ratio","Ter_enrolment_num","STEM_ter_grad_percent","Illiterate_pop","Pre_pri_pupil_teacher_ratio","Gov_ex_capita","Gov_ex_3","Log_gov_ex_3","PISA_math_new","PISA_sci_new","PISA_read_new","GDP_1","GDP_growth_1","GDP_capita_1","GDP_capita_growth_1"
0.00922,2.16669,0.78789,2.95458,NA,NA,NA,NA,NA,13171306,3733,0.92171,764175,36.11149,NA,223379,13.13156,16147,NA,NA,NA,NA,NA,NA,453.48526035,423.516472703704,379.664629871528,3300000109,NA,247.3540878,NA
NA,2.25822,0.82931,3.08753,NA,NA,NA,NA,NA,13341198,NA,NA,810657,37.63702,NA,238674,13.82176,21118,NA,NA,NA,NA,NA,NA,453.48526035,432.184543097917,379.664629871528,3697940410,NA,275.7381154,NA
NA,NA,NA,NA,NA,NA,NA,NA,18.15768,13411056,NA,NA,NA,NA,NA,NA,NA,22974,NA,5931821,NA,NA,NA,NA,448.717330011111,466.580947925926,493.382200023529,3641723322,NA,272.6555102,NA
0.0108,2.648,1.00586,3.65386,NA,NA,NA,NA,NA,13356511,4470,1.08048,959583,44.13337,NA,293308,16.76427,NA,NA,NA,NA,NA,NA,NA,453.48526035,423.516472703704,379.664629871528,3478787909,NA,264.1111971,NA
0.01208,2.8627,1.15969,4.02239,NA,NA,NA,NA,NA,13171673,4970,1.20796,1024741,47.7117,NA,332935,19.32814,NA,NA,NA,NA,NA,NA,NA,453.48526035,423.516472703704,379.664629871528,NA,NA,NA,NA
0.01165,1.03853,0.63564,1.67416,NA,NA,NA,NA,NA,12882528,4735,1.16483,365458,17.30882,NA,178423,10.59393,19652,NA,NA,NA,NA,NA,NA,453.48526035,380.560484281481,379.664629871528,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,12537730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520.507587098788,503.241000007527,500.154002023392,NA,NA,NA,NA
0.03238,1.3195,0.74226,2.06177,NA,NA,NA,NA,NA,12204292,12714,3.2383,447351,21.9917,NA,198337,12.37108,NA,NA,NA,NA,NA,NA,NA,453.48526035,380.560484281481,379.664629871528,NA,NA,NA,NA
0.0441,1.43477,0.78601,2.22078,NA,NA,NA,NA,NA,11938208,17000,4.40996,479150,23.91285,NA,206381,13.1001,NA,NA,NA,NA,NA,NA,NA,453.48526035,380.560484281481,379.664629871528,NA,NA,NA,NA
0.04712,1.5511,0.72588,2.27698,NA,NA,NA,NA,NA,11736179,18002,4.71247,512809,25.85167,NA,187745,12.09805,22306,NA,NA,NA,NA,NA,NA,453.48526035,380.560484281481,379.664629871528,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,11604534,NA,NA,NA,NA,NA,NA,NA,17509,NA,NA,NA,NA,NA,NA,520.507587098788,503.241000007527,500.154002023392,NA,NA,NA,NA
0.05129,1.9527,0.79211,2.74481,NA,NA,NA,NA,NA,11618005,19660,5.12917,651622,32.54501,NA,205392,13.20184,NA,NA,NA,NA,NA,NA,NA,453.48526035,423.516472703704,379.664629871528,NA,NA,NA,NA
NA,1.81512,0.75935,2.57447,NA,NA,NA,NA,NA,11868877,NA,NA,622135,30.252,NA,202572,12.65581,NA,NA,NA,NA,NA,NA,NA,453.48526035,432.184543097917,379.664629871528,NA,NA,NA,NA
NA,1.74249,0.651,2.39348,NA,NA,NA,NA,NA,12412308,NA,NA,622513,29.04142,NA,182340,10.84996,24333,NA,NA,NA,NA,NA,NA,453.48526035,432.184543097917,379.664629871528,NA,NA,NA,NA
NA,1.64485,0.93541,2.58026,NA,NA,NA,NA,NA,13299017,NA,NA,627888,27.41422,NA,281928,15.59009,NA,NA,NA,NA,NA,NA,NA,453.48526035,432.184543097917,379.664629871528,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,14485546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520.507587098788,519.506106012,500.154002023392,NA,NA,NA,NA
NA,1.77514,0.92635,2.70149,NA,NA,NA,NA,NA,15816603,NA,NA,786532,29.10315,NA,332170,15.42397,NA,NA,NA,NA,NA,NA,NA,453.48526035,432.184543097917,379.664629871528,NA,NA,NA,NA
NA,2.40001,1.28652,3.68653,NA,NA,NA,NA,NA,17075727,NA,NA,1161444,40.00014,NA,497762,21.44198,NA,NA,NA,NA,NA,NA,NA,453.48526035,432.184543097917,379.664629871528,NA,NA,NA,NA
NA,2.56509,1.24935,3.81443,NA,NA,NA,NA,NA,18110657,NA,NA,1312197,42.75143,NA,512851,20.82245,NA,NA,NA,NA,NA,NA,NA,453.48526035,432.184543097917,379.664629871528,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,18853437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520.507587098788,519.506106012,500.154002023392,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,19357126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520.507587098788,519.506106012,500.154002023392,NA,NA,NA,NA
NA,1.8632,NA,NA,NA,NA,NA,NA,NA,19737765,NA,NA,1046338,31.05335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520.507587098788,488.901259933333,482.767545861403,NA,NA,NA,NA
