Country Name,Country Code,Time,Time Code,"Completion rate, primary education, adjusted wealth parity index (WPIA) [UIS.CR.1.WPIA]","Completion rate, primary education, both sexes (%) [UIS.CR.1]","Enrolment in primary education, both sexes (number) [SE.PRM.ENRL]","Gross enrolment ratio, primary, both sexes (%) [SE.PRM.ENRR]",Proportion of primary schools with access to electricity (%) [UIS.SCHBSP.1.WELEC],Proportion of primary schools with access to basic drinking water (%) [UIS.SCHBSP.1.WWATA],"School life expectancy, primary, both sexes (years) [UIS.SLE.1]","Total net attendance rate, primary, both sexes (%) [UIS.NART.1]","Total net enrolment rate, primary, both sexes (%) [UIS.NERT.1]",Proportion of primary schools with access to Internet for pedagogical purposes (%) [UIS.SCHBSP.1.WINTERN],"Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, both sexes (%) [UIS.MATH.PRIMARY]"
Afghanistan,AFG,1977,YR1977,..,..,764175,36.11149,..,..,2.16669,..,..,..,..
Albania,ALB,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,1977,YR1977,..,..,2785264,94.10461,..,..,5.73622,..,77.72608,..,..
American Samoa,ASM,1977,YR1977,..,..,6778,..,..,..,..,..,..,..,..
Andorra,AND,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,1977,YR1977,..,..,10912,91.74374,..,..,6.42206,..,..,..,..
Argentina,ARG,1977,YR1977,..,..,3680185,106.66186,..,..,7.46633,..,..,..,..
Armenia,ARM,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,1977,YR1977,..,..,1671517,111.21833,..,..,6.66352,..,99.97696,..,..
Austria,AUT,1977,YR1977,..,..,492723,99.49437,..,..,3.97977,..,..,..,..
Azerbaijan,AZE,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,1977,YR1977,..,..,31928,105.07816,..,..,6.30649,..,98.19785,..,..
Bahrain,BHR,1977,YR1977,..,..,45694,110.34,..,..,6.82837,..,82.11388,..,..
Bangladesh,BGD,1977,YR1977,..,..,8227950,75.5715,..,..,3.74489,..,73.18313,..,..
Barbados,BRB,1977,YR1977,..,..,33989,114.57996,..,..,6.95492,..,98.32617,..,..
Belarus,BLR,1977,YR1977,..,..,741733,99.34811,..,..,4.96741,..,..,..,..
Belgium,BEL,1977,YR1977,..,..,923677,104.96783,..,..,6.26039,..,96.29779,..,..
Belize,BLZ,1977,YR1977,..,..,26534,108.47028,..,..,6.50822,..,..,..,..
Benin,BEN,1977,YR1977,..,..,279673,49.98651,..,..,2.99919,..,..,..,..
Bermuda,BMU,1977,YR1977,..,..,6614,98.20341,..,..,6.87424,..,..,..,..
Bhutan,BTN,1977,YR1977,..,..,18821,31.56774,..,..,1.89406,..,..,..,..
Bolivia,BOL,1977,YR1977,..,..,790081,98.38283,..,..,5.90297,..,..,..,..
Bosnia and Herzegovina,BIH,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,1977,YR1977,..,..,137290,82.90759,..,..,5.99025,..,69.79238,..,..
Brazil,BRA,1977,YR1977,..,..,14163728,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,1977,YR1977,..,..,32188,125.5823,..,..,7.61912,..,89.63365,..,..
Bulgaria,BGR,1977,YR1977,..,..,507375,100.28105,..,..,4.01124,..,..,..,..
Burkina Faso,BFA,1977,YR1977,..,..,149270,15.07216,..,..,0.91225,..,12.55795,..,..
Burundi,BDI,1977,YR1977,..,..,131338,21.62426,..,..,1.29746,..,..,..,..
Cabo Verde,CPV,1977,YR1977,..,..,60386,117.98058,..,..,7.07883,..,..,..,..
