Country Name,Country Code,Time,Time Code,"Completion rate, lower secondary education, adjusted gender parity index (GPIA) [UIS.CR.2.GPIA]","Completion rate, lower secondary education, adjusted location parity index (LPIA) [UIS.CR.2.LPIA]","Completion rate, lower secondary education, adjusted wealth parity index (WPIA) [UIS.CR.2.WPIA]","Completion rate, lower secondary education, both sexes (%) [UIS.CR.2]","Enrolment in lower secondary education, both sexes (number) [UIS.E.2]","Enrolment in secondary education, both sexes (number) [SE.SEC.ENRL]","Gross enrolment ratio, lower secondary, both sexes (%) [SE.SEC.ENRR.LO]","Gross enrolment ratio, primary and lower secondary, both sexes (%) [UIS.GER.12]","School life expectancy, primary and secondary, both sexes (years) [UIS.SLE.123]","School life expectancy, primary and lower secondary, gender parity index (GPI) [UIS.SLE.1T2.GPI]","School life expectancy, primary and lower secondary, both sexes (years) [UIS.SLE.12]","School life expectancy, secondary, both sexes (years) [UIS.SLE.23]","Gross enrolment ratio, secondary, both sexes (%) [SE.SEC.ENRR]","Completion rate, upper secondary education, adjusted gender parity index (GPIA) [UIS.CR.3.GPIA]","Completion rate, upper secondary education, adjusted location parity index (LPIA) [UIS.CR.3.LPIA]","Completion rate, upper secondary education, adjusted wealth parity index (WPIA) [UIS.CR.3.WPIA]","Completion rate, upper secondary education, both sexes (%) [UIS.CR.3]"
Afghanistan,AFG,1977,YR1977,..,..,..,..,..,223379,..,..,2.95458,..,..,0.78789,13.13156,..,..,..,..
Albania,ALB,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,1977,YR1977,..,..,..,..,..,612229,..,..,7.25174,..,..,1.51552,21.65029,..,..,..,..
American Samoa,ASM,1977,YR1977,..,..,..,..,..,2602,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,1977,YR1977,..,..,..,..,..,6927,..,..,10.8986,..,..,4.47654,89.53083,..,..,..,..
Argentina,ARG,1977,YR1977,..,..,..,..,..,1288107,..,..,10.24362,..,..,2.77728,55.5457,..,..,..,..
Armenia,ARM,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,1977,YR1977,..,..,..,..,..,19554,..,..,9.82143,..,..,2.99306,61.65148,..,..,..,..
Bangladesh,BGD,1977,YR1977,..,..,..,..,..,2238186,..,..,4.97659,..,..,1.2317,17.5598,..,..,..,..
Barbados,BRB,1977,YR1977,..,..,..,..,..,28677,..,..,11.70539,..,..,4.75047,79.17449,..,..,..,..
Belarus,BLR,1977,YR1977,..,..,..,..,..,858677,..,..,9.85258,..,..,4.88517,97.70339,..,..,..,..
Belgium,BEL,1977,YR1977,..,..,..,..,..,811608,..,..,11.35568,..,..,5.09529,84.80814,..,..,..,..
Belize,BLZ,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,1977,YR1977,..,..,..,..,..,47370,..,..,3.64703,..,..,0.64784,9.2549,..,..,..,..
Bermuda,BMU,1977,YR1977,..,..,..,..,..,5393,..,..,11.43762,..,..,4.56338,91.26756,..,..,..,..
Bhutan,BTN,1977,YR1977,..,..,..,..,..,1536,..,..,2.08947,..,..,0.1954,3.9081,..,..,..,..
Bolivia,BOL,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,1977,YR1977,..,..,..,..,..,17896,..,..,7.0104,..,..,1.02016,19.15342,..,..,..,..
Brazil,BRA,1977,YR1977,..,..,..,..,..,10102668,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,1977,YR1977,..,..,..,..,..,16005,..,..,11.76542,..,..,4.1463,58.82677,..,..,..,..
Bulgaria,BGR,1977,YR1977,..,..,..,..,..,828214,..,..,10.56024,..,..,6.549,93.55718,..,..,..,..
Burkina Faso,BFA,1977,YR1977,..,..,..,..,..,18081,..,..,1.04592,..,..,0.13368,1.90966,..,..,..,..
Burundi,BDI,1977,YR1977,..,..,..,..,..,13736,..,..,1.45698,..,..,0.15953,2.25691,..,..,..,..
Cabo Verde,CPV,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cameroon,CMR,1977,YR1977,..,..,..,..,..,163810,..,..,6.88806,..,..,1.07246,14.67733,..,..,..,..
Canada,CAN,1977,YR1977,..,..,..,..,..,2587871,..,..,11.36228,..,..,5.42187,90.36446,..,..,..,..
Cayman Islands,CYM,1977,YR1977,..,..,..,..,..,1558,..,..,13.06625,..,..,5.7775,96.29172,..,..,..,..
Central African Republic,CAF,1977,YR1977,..,..,..,..,..,24844,..,..,5.27965,..,..,0.58664,8.3805,..,..,..,..
Chad,TCD,1977,YR1977,..,..,..,..,..,19580,..,..,2.3388,..,..,0.2226,3.17993,..,..,..,..
Channel Islands,CHI,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,1977,YR1977,..,..,..,..,..,903617,..,..,10.81358,..,..,3.64913,60.81887,..,..,..,..
China,CHN,1977,YR1977,..,..,..,..,..,59055677,..,..,8.68865,..,..,2.86361,57.2721,..,..,..,..
Colombia,COL,1977,YR1977,..,..,..,..,..,1616111,..,..,8.33434,..,..,2.40901,40.15009,..,..,..,..
Comoros,COM,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,1977,YR1977,..,..,..,..,..,599412,..,..,6.8602,..,..,1.15797,19.29942,..,..,..,..
"Congo, Rep.",COG,1977,YR1977,..,..,..,..,..,122006,..,..,10.90777,..,..,3.51579,50.22559,..,..,..,..
Costa Rica,CRI,1977,YR1977,..,..,..,..,..,121202,..,..,8.61706,..,..,2.11104,42.22081,..,..,..,..
Cote d'Ivoire,CIV,1977,YR1977,..,..,..,..,..,130102,..,..,5.31568,..,..,0.95877,13.69675,..,..,..,..
Croatia,HRV,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cuba,CUB,1977,YR1977,..,..,..,..,..,806049,..,..,11.28001,..,..,3.96156,56.59371,..,..,..,..
Curacao,CUW,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,1977,YR1977,..,..,..,..,..,50633,..,..,8.80346,..,..,4.1278,68.73693,..,..,..,..
Czech Republic,CZE,1977,YR1977,..,..,..,..,..,1001695,..,..,12.25725,..,..,7.36203,92.02535,..,..,..,..
Denmark,DNK,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Djibouti,DJI,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,1977,YR1977,..,..,..,..,..,6516,..,..,11.53345,..,..,3.55134,71.02681,..,..,..,..
